title,desc,link,country
Our Actions Against Coronavirus (COVID-19),"With the remote working model, technical personnel were enabled to continue their planned work at their home with the remote working model. Remote desktop solution allows them to access everything they need for a productive working day. All the meetings",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105296409013669,Turkey
Upgrade traditional industries in Yunnan Province of China by using 5G network to promote electronic employment,"5G network with its ""large bandwidth, low delay, high reliability"" technical features has become the main content and aspect of China's new information infrastructure construction. In recent years, Yunnan's economy has developed rapidly and its economic",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114992395660659,"Yunnan Province ,"
ZINAKE,Zinake is a cloud based platform that conveniently connects temporary workers to job opportunities in their locality at the click of a button. Zinake is a community innovation that ensures that users (individuals or organizations) are guaranteed of quali,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121605609504007,Kenya
Woman DNS Academy,"The Benin Chapter of the Internet Society is the main stakeholder organization of the Benin DNS Forum (along with 4 other non-profit organizations). Through the Benin DNS Forum initiative (www.dnsforum.bj), the Woman DNS Academy Program has been initiate",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112406096262146,Benin
The Unified Medical Information Analysis System,Moscow forms a unified information space in healthcare covering all public healthcare institutions. Information services of the Unified medical information analysis system (EMIAS/UMIAS) developed by the Moscow Department of Information Technology and the,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16120451036437593,"Moscow,"
WonderTree,"WonderTree is innovating education and physiotherapy for special needs children by making it affordable, accessible, and fun. We are doing this through gamifying conventional academic, cognitive, and physiotherapy exercises using augmented reality and ar",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118303699011303,Malaysia
Tutorials ULP 4.0,"The provincial government provides free broadband connectivity to the entire population and Internet penetration reaches 95%, which also makes it possible to offer multiple services, educational platforms and digital tools to the entire population. Tutor",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115378304067549,"San Luis province,"
"Tsena, Botswana Online","Tsena, Botswana Online was and still is Botswana's first online community portal. The project was launched with the aim of promoting ICT usage in the country and was on this reason offered for FREE to all subscribers on the network. The project's goal is",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16120816827098057,Botswana
Talkshow Literasi Teknologi Informasi Komunikasi Suara Madiun ( Voice Of Madiun  Literacy ICT Talkshow ),"Information and Communication Technology Literacy (TIK) is a talk show program specifically designed for adults, parents, women and people with diffabilities. It is design to talk about knowledge and development of ICT. This program is a relaxed talk sho",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111777863894098,Indonesia
Tawakkalna,SDAIA developed Tawakkalna to support government efforts aimed at countering Covid-19 to preserve the health and safety of citizens and residents against the virus. It was developed to facilitate the issuance of movement permits electronically during the,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115709312370365,Saudi Arabia
The Smart City Pavilion at the Exhibition of Achievements of National Economy (VDNH EXPO),The Smart City Pavilion is a free permanent exhibition of Smart City technologies at the Main Exhibition of Moscow – VDNH. The exhibition consists of 6 interactive zones presenting technologies and electronic services of the modern city. Each zone repres,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114219853900295,"Moscow,"
"Russia-wide festival of student media works ""RePost""","""RePost"" is a unique student festival in the media sphere. The project is aimed at supporting young and talented authors of student media, creating a unified information environment for the development of communications and exchange of experience among s",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111421911272107,Russian Federation
Qeemle Magazine,Qeemle Magazine was founded in 2019 to enable students to have questions answered by pioneers of their fields of interest. Most of these young people are first-generation students who belong to low-income families and have moved to the city from unheard,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112897108095933,India
Official website of Accessibility Research Association,"“The Era of 5G and the Internet of Things” is an exhibition about science, technology, and application of the 5th generation of the mobile network(5G) and the Internet of Things (IoT). The exhibit explains the scientific foundation, technology developmen",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121899191246894,China
Mwajuma Simama!,"As children and young adults in Tanzania are forced to stay home after the National schools closure to prevent the spread of the novel Coronavirus (Covid-19), there are now more subjected to frequent harassment and abuse from their family members and nei",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106404631391887,United Republic of Tanzania
ICT.Moscow - an open platform about digital technologies in Moscow,"ICT.Moscow (https://ict.moscow/) is an open platform about digital technologies in Moscow. The platform is the base for building a fuller picture of the technology market development in the city and outside it. It is a convenient information, service and",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115736022207147,International
G-Taw Zagar Wyne Podcast (Myanmar First Feminists Podcast),"Objective: To amplify women and girls voices through podcast  According to the 2014 Myanmar national census report, women and girls make up more than half of the country’s total population. However, women’s positions in media, politics and leadership rol",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118399595340579,Myanmar
Government Media Analytics Service,This is one of the Government shared services that is offered to ministries and government departments in order to enable them to listen to and analyze any public eContent over the internet. There are 170 million resources including all social media plat,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115881791642937,International
Social Watcher,"Social Watcher is a large-scale community service which utilizes media and ICT tools and expertise. The service utilizes Artificial Intelligence, Text Mining, Big Data analytics and visualization, and Natural Language Processing to analyze the public opi",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16083834429458416,Kuwait
Digital awareness program: Towards Digital Journalism,"“Towards Digital Journalism” program, implemented by the “E-Gov Development Center”, aims at eliminating the impact of misinformation and data pollution on digital services, bridging the digital divide in society, increasing digital literacy, and ensurin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110470701389150,Azerbaijan
"Fighting against Misinformation, Disinformation and Mal-information through Community Radio in Bangladesh (Revised)","Fighting against misinformation, disinformation and mal-information through fact checking become important challenge in rural Bangladesh.  The goal of the initiative is Empowering Community People Promoting Access to Reliable and Timely Information throu",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116348604308900,Bangladesh
Exhibition of the Era of 5G and the Internet of Things,"“The Era of 5G and the Internet of Things” is an exhibition about science, technology, and application of the 5th generation of the mobile network(5G) and the Internet of Things (IoT). The exhibit explains the scientific foundation, technology developmen",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121763687863511,China
Culture.ru,"Culture.ru is a unique project about Russian cultural and historical heritage. This is cultural, entertaining and educating media. There is no other similar project of this type in Russia. The idea of Culture.ru is to make culture interesting and excitin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110509831242316,Russian Federation
CMHS Radio Caibarién | La Voz de la Villa Blanca,"This project has as a general objective: to inform, to spread the material and immaterial culture, the history and the human values of the municipality of Caibarien, Cuba and the World. Among the results achieved, the most valuable is the condition of Ch",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16077823660883007,International
Safe Connects - young leaders engage with and use media in their communities and schools to increase Internet safety awareness,Tens of millions of youths around the world learn how to use ICT every year but Internet safety is not always explained in a way that engages young people.  Young leaders in secondary school don’t always have extraordinary opportunities to give back to t,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114439727782838,Argentina
Bangladesh NGOs Network for Radio and Communication,"COVID-19 in SDGs: Adaptation Priority - Objectives & Broadcast Contents through Community Radio & Community Visual Radio in Bangladesh ""Bangladesh NGOs Network for Radio and Communication (BNNRC) has been struggling for the last 20 years for opening up a",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106978320825507,Bangladesh
Water-Map,"Created in 2019 by the NGO European Water Project, Water-Map pursues the following goals: - Participate and contribute to the reduction of disposable plastic waste by promoting the consumption of tap water rather than that of bottled water. < - Encourage",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112310123805358,International
A voice-based community media platform to support rural and low-income communities in dealing with the fallout from COVID-19,"""Our technology solution empowers hard-to-reach communities (low literacy, rural, without internet) for combating COVID-19 through Awareness building, countering misinformation, seeking community  feedback, self-assessment survey and guidance and grievan",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110584768637945,India
Xiong'an New District Smart Monitoring System Construction Project (Phase I),"The ecological environment intelligent monitoring system project of Xiongan New Area aims to comprehensively improve the ecological environment quality of Xiongan New Area and Baiyangdian area, innovatively integrates the application of 5G technology in",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114923243487945,"Xiongan New District,"
TIP SESSIONS,"A two-pronged solution approach to a community engagement platform: TIP Sessions and Baeru. Both platforms join together to create a hybrid model that focuses on climate action, civic awareness, and sustainable consumption and livelihoods. TIP Sessions i",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116630860291464,India
The official web-site of Budgetary Environmental Protection Institution “Mosecomonitoring”,Official website of the Budgetary institution of the Moscow city Government “Mosecomonitoring” (mosecom.mos.ru) was upgraded and resumed functioning in March 2018 as the official source of data on air quality in Moscow. The data on 16 analyzed pollutants,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115721214938066,"Moscow,"
Tarsheed Summer Camp Website,"With Qatar General Electricity and Water Corporation ""KAHRAMAA"" commitment to Qatar Vision 2030 goals for sustainable development, Kahramaa has launched the National Program of Conservation & Energy Efficiency ""Tarsheed"" which encourages and empower all",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112336162222444,"Qatar,"
refillme,"The eco startup company refillme produces on-tap dispensers for selling household cleaning products such as dishwashing solutions, laundry detergents, and floor cleaner. The process at refillme is simple: we refill empty bottles with household liquids to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112980052312730,Kazakhstan
Reduction of water consumption by the citizens of Moscow,"Since 2012, Muscovites have had an opportunity to transmit water and electricity meter readings online through service on the Moscow Mayor web-site Mos.ru, which monthly turn over is 1 million people. In 2021, the service will be significantly modified.",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121167333267117,"Moscow,"
Recycle into Education,"As Turkcell, we implemented Recyle into the Education project throughout Turkey in collaboration with TüBISAD (Informatics Industry Association). Electronic waste will be disposed at recycle boxes in all 1335 Turkcell stores, and the income from these pr",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16076102059281867,Turkey
Integrated waste management software,"Due to the importance of recyclable waste segregation in environmental protection and reduce urban management costs, in collaboration with waste management organization of Mashhad municipality and private sector, ICT organization of Mashhad municipality",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113295896439984,"City of Mashhad,"
Next Generation Hyperscale Computing Infrastructure Project,"The next generation hyperscale computing infrastructure project adopts a new type of design and operation method, which is strategically located around megacities to achieve high scalability and cost-effectiveness as well as scale-effect synergies with r",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113188113950993,Asia and Pacific
Digital Approcahes to Risilience and Adaptation in Jamaica (DARAJA Project),The proposed solution will be a new climate resilience and adaptation methodologies and technologies to improve climate risk management and COVID19 responses  in Jamaica through this program.,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110560775679747,Jamaica
Comprehensive system of passive defense and severe crisis management,"The wide range of issues of crisis management and passive defense, given the facilities available in the country, has made development a priority for the city to help in widespread crises. This system is one of the methods of operations research (such as",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115201634888051,Iran (Islamic Republic of)
FIE20: Groundwater and meteo sensors,The FIE 20 solution utilizes weather forecast and weather model data for visualization of weather forecast on given locality for 7- and 14-days period. It provides visualization of weather model data corrected by measurements to provide information about,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116574305661996,Czech Republic
Carbon Footprint Calculator,Carbon Footprint Calculator is an application that allows users to calculate their individual carbon dioxide emissions into the Earth's environment. Users take quizzes about their activities and the app provides statistics about their carbon footprint. I,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16117369292385401,Bulgaria
Huawei & RFCx Nature Guardian Project,"Deforestation accounts for 15%-20% of Global Greenhouse Gas (GHG) emissions, while Illegal logging causes 50%-90% of deforestation worldwide. In response to this global challenge, Huawei has worked together with Rainforest Connection (RFCx) to apply clou",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115924676080035,Bolivia
B2Climate,Forests sequester carbon and produce oxygen. This makes forests a defender of climate and humankind. That’s why tree planting projects are becoming a priority in international climate policy. Because  the concentration of CO2 in the atmosphere continues,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121246541915366,Eastern Europe
Al Nawras,“Al Nawras” is a flight permission and scheduling system and the first aviation approval online system in the Middle East; completely developed and led in-house by women staff members of the Information Systems Directorate in the Ministry (MTT). The proj,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112045204869966,International
4G/5G collaborative intelligent energy-saving management,"The power consumption of a single 5G station is about 4 times that of a single 4G station. With the expansion of 5G network construction scale, the energy consumption problem of communication network equipment has become increasingly prominent. As one of",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114815879601965,China
“Digital region”,"“Digital region” is an ecosystem of 20+ digital solutions, divided into three main product lines: “security”, “manageable city” and “comfortable urban environment”. Currently, we have implemented some 750+ digital products in 70+ regions of Russia. Safet",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16076883923010072,Russian Federation
Tarassud Platform - Oman,"Tarassud+ platform is a conglomerate of heterogeneous systems, technologies and channels that generate and process data into useful actions, streamlined workflows, visuals of intervention, and monitoring impacts in response to outbreaks/pandemic. It inte",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114848643158324,Oman
Prey Lang - It's our forest too,"Since 2007 PLCN has advocated against illegal logging and large-scale, government-sanctioned land grabbing on their ancestral lands. Together with their partners, PLCN has developed an app for smartphones (known as the Prey Lang app), making it easy for",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116629151166420,"Prey Lang forest (4 provinces: Kratie, Kampong Thom, Preah Vihear and Stung Treng),"
SHEFAA portal / application,“SHEFAA” to serve the largest segment of patients of all age groups by showcasing treatment services provided by the ministry and other patient-centric services. The new platform will act as the digital communication between patients and service provider,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121141751615103,"dubai and north emirates ,"
Satellite Connectivity to Support the Government of Mexico’s COVID-19 Telemedicine Network,"In the face of the COVID-19 pandemic and shortly after the Presidential Decree adopting extraordinary measures to combat the spread of the virus, SES offered free satellite capacity to the government of Mexico to support broadband satellite connectivity",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106417491013453,Mexico
Smart Assistant for Medical Professionals,"During a patient’s visit, the clinician inputs a text description of complaints and/or anamnesis of the patient. A Mathematical model, based on neural networks, analyses the input data and as output provides the 3 most likely diagnoses according to the I",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106502448224853,Russian Federation
National COVID-19 Integrated Information System,"""National COVID-19 Integrated Information System represents a software support for performing epidemiological surveillance related to the COVID-19. The system enables registration of all persons tested for the SARS-CoV-2 virus on the entire territory of",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112225178888278,Serbia
Rehabilitation Clinics for children and Women with Disability,"Our product is a powerful tool for several kinds of rehabilitation therapies attended by children and women with disabilities such as the consequences of cerebral palsy, spinal cord injury, amyotrophic lateral sclerosis (ALS), strokes, Parkinson's diseas",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121659203896451,Brazil
Nar'aakom Mobile Application for Primary Care,"""Primary Health Care in Qatar accelerated its digital transformation to facilitate delivery of safe patient care during Covid. Mobile Application ‘Nar’aakom’ was developed to enable easy access to primary care information bank and services. Nar’aakom app",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112321153714653,"Qatar,"
Reaya - Health Care Outreach,Reaya provides a holistic view of both confirmed and potential cases of COVID-19. Confirmed case is a person who a confirmed positive Carrier/infected person. Potential case is a person who have identified to be a positive confirmed carrier or reflecting,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112463508886114,United Arab Emirates
MonitorFCS App and COVID-19MX App,"""1) MonitorFCS App. Since the start of the pandemic, in América Móvil we have been concerned about the health of our coworkers, therefore, as part of the company's actions to deal with COVID-19, in collaboration with the Carlos Slim Foundation, we develo",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106458346683556,Mexico
Genecoin e-health,"""Genecoin is a tech startup developing blockchain based solutions to maximize social and environmental sustainability of biodiversity supply chains. As response to the pandemic, we adapted our biodiversity projects so we could further develop them virtua",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106989750468225,Brazil
COVID-19 Response in Burkina Faso and Cambodia,"""In Cambodia and Burkina Faso, through the USAID Breakthrough-ACTION project, and in partnership with each country’s Ministry of Health, Save the Children, and Viamo have coordinated communication campaigns using Viamo’s 3-2-1 Service to quickly dissemin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105478518786200,Burkina Faso
COVID-19 Emergency Response,"""Mexico City has developed a thorough strategy consisting of several coordinated actions that aim to solve some of the issues derived from the pandemic. The automated screening model was launched on March 17th, 2020, to provide attention to people that s",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111399143374056,Mexico
App Covid-19 Uruguay,"The Uruguayan government in collaboration with private sector companies grouped in the Uruguayan Chamber of Information Technologies (CUTI) developed a specific App for attention to the health emergency: Coronavirus UY, which is currently implemented wit",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112354012564018,Uruguay
China Unicom - Intelligent Network Digital Innovation Project,"Intelligent Network Digital Innovation Project builds on the idea that to encourage the adoption of ICTs to improve and extend health care and health information systems to remote and underserved areas and vulnerable populations, and to strength and expa",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121969196110142,China
Amakomaya” (Mother’s Love),"""A mountainous country Nepal has challenging places in terms of increasing access to health information for the pregnant mothers and infant babies. Since last 8 years “Amakomaya” (Mother’s Love) initiative has deployed unique android apps to strengthen t",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110517489701223,Nepal (Republic of)
Bullyid App - Indonesia's first online emotional and legal support for cyber harassment & mental health issues.,"Bullyid Indonesia is a digital initiative to provide emotional and legal support, especially for those who got physical, mental and any harassment specifically for women, teenagers and children in Indonesia. Due to covid-19, such groups are susceptible t",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16120632271707821,Indonesia
Parkinson's Aid-Path Finder,Many people who live with Parkinson's disease experience difficulties walking. This experience is called freezing of gait (FOG) or freezing. Path Finder is a medical device that alleviates freezing. This means that while you might freeze or feel stuck so,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118013009000497,Denmark
TLAYOLCHIKAWALIS (ACTIONS TO PROTECT THE HEARTS) CAMPAIGN,"""The TLAYOLCHIKAWALIS (ACTIONS TO PROTECT THE HEARTS) CAMPAIGN is aimed at making effective the right to know of the masehual people of Cuetzalan in order for them to help each other. With very scarce access to infrastructure, services and information in",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16107153107673749,Mexico
Thar Carpets and Handicrafts,Thar carpets is social enterprise established for community development particularly support the residents of district Tharparkar by empowering women artisan in the form of selling their unique handmade products. Thar Carpets and Handicraft is manufactur,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116381687016830,Pakistan
The Techgirls Competition,The Tech Girls Movement Foundation's (TGMF) vision is of a society in which women can confidently contribute to their communities and the economy through STEM entrepreneurship and leadership.   The Techgirls Competition actively challenges negative gende,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114572957491167,Australia
Saksham Project,"Saksham empowers persons-with-print-disabilities (PVIs) through technology-solutions, education and skill-development by using ICT-infrastructure/devices to remove environmental and attitudinal-barriers1Saktek online-store a. Objective: Active participat",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16107199395697029,India
Takalidi : Ecommerce Platform fo all arab crafters & handmade traditional products,Takalidi is an e-commerce platform for all Arab artisans and handcrafted traditional products that enables them to open their online store and display their products and services in the world Because most craftsmen have a problem with marketing. Exactly,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115055760270473,Algeria
InspireIT Mentoring,"InspireIT encourages and supports young girls and women studying or interested in STEM (science, technology, engineering and mathematics). InspireIT's vision is to be one of the most transformative communities providing support, mentoring, and training t",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121599302620436,Nigeria
"NanYouJiaYu——""Introducing Ancient Ceramic Culture to School"" Project Based on Virtual Reality Technology","You may have never noticed the striking fact that, of the 40 million artefacts in China's museums, merely 5% of them are on display, while at the same time, of the 249 million children in China, more than 100 million from rural areas have never ever got",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121032462175772,China
Jaska and Črnomelj’s heritage gets to be ‘cool’ too. For everyone. / Tudi dediščina Jaske in Črnomlja je lahko ‘cool’. Za vse.,"Along the Slovenian-Croatian border, there are more than 50 smaller historical towns with an abunding cultural heritage. The heritage in these places represents the main untapped potential for reviving their squares and streets. The challenge of kulTura",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115741097166615,Eastern Europe
"e-Enabling, e-Engaging & e-Empowering Transgender Community through Radio in Bangladesh","BNNRC has been implemented the project for empowering, voicing & connecting Transgender community through resilience, awareness on the rights. The radios are broadcasting altogether 142 hours program per day on information, education, local entertainment",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115831778385018,Bangladesh
Discover Moscow,"Discover Moscow is a joint project by the Department of Education and Science, the Department of Cultural Heritage and the Department of Information Technologies of Moscow. Interactive showplace guides contain descriptions of more than 2 thousand buildin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115727575797291,"Moscow,"
Digital Transformation Center,Digital Transformation Center (DigiCenter) is a project unit of the Digital Solutions for Sustainable Development Program (DSSD). It is implemented by the German Development Cooperation (GIZ). The purpose of the DigiCenter is to support digital transform,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16122163593945285,"Kigali,"
OLASKEMBAR,"The olaskembar.id project is a tour package that was previously for students, but now open also for public. The ‘Olaskembar’ stands for "" Ojo Lungo Adoh Sakdurunge Kemput Blitar"", (No Travelling away out of Blitar before visiting the local tourist destin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114754488067502,Indonesia
Digital tourist service RUSSPASS,"Digital tourist service RUSSPASS is a new online travel service for organizing travel in Russia designed for both residents of the country and foreign tourists. Residents from anywhere in Russia and in the world can easily plan their visit to Moscow, St.",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114366256777809,International
Comunidades Digitais (Digital Communities),"Digital Communities is a program of IBEBrasil that are running more than 10 years in the North of Rio de Janeiro, in rural and peripheral areas, in partnerships with public universities. This project foresee a Community Portal, that allows the community",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106325134797575,Brazil
Chingari,"Chingari is a fashion brand, we provide customers customize dresses, we send them a questionnaire online and by that we know their taste, we design the clothes for them according to that. We have launched 3 collections this year and we use e-commerce to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16109783026243228,Pakistan
COVID-19: Education through Community Radio in Bangladesh,"BNNRC has been mobilizing all community radios for broadcasting awareness building programs on COVID-19: to protect lives and livelihoods since March 1, 2020  BNNRC has been working on COVID -19 covering with the following issues: 1. Animate CSOs, Govern",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115778750021249,Bangladesh
#PhilharmonicatHome #сфилармониейдома,"Starting from March 20, 2020, on a daily basis the Sverdlovsk Philharmonic's Digital Concert Hall broadcasts educational programs and concert recordings from its archive collection for free, from 13.00 to 17.00 (Philharmonic lessons, lectures, daytime fa",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106232402596016,Russian Federation
Arab Culture and Arts Network,"Arab Culture and Arts Network, was established during the Corona pandemic crisis at the initiative of cultural activists with the aim of networking individuals and cultural and artistic institutions, for the sake of cultural solidarity, and creating a li",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110496844949562,Asia and Pacific
BINTI TEHAMA (GIRLS IN ICT),"One of the TCRA’s strategic objective is to coordinate implementation of National, Regional and International Sector commitments. As a member of International Telecommunication Union, TCRA has an obligation to commemorate International Girls In ICT Day w",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115508274916067,United Republic of Tanzania
"""ngabuburit online ""with the theme of Downloading Blessings of Ramadan""","""We went through this year's Ramadhan in a very different atmosphere from previous years, we had to find various ways so that the atmosphere of the fasting month this year was still felt, for that we present the event """"ngabuburit online with the theme o",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106249641733508,"Bojonegoro ,"
We explore ways to use AI/ML to understand those suffering Alzheimer's Disease,"Kin-Keepers is dedicated to elderly populations. It uses AI to give seniors a synthetic voice. Its product called the ""Assistive Self ""is a Machine Learning algorithm that translates the utterances of those suffering from Alzheimer's Disease. Finding a w",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16103923848588710,Spain
Unified Family Platform,"General Women's Union [GWU] places family cohesion as the topmost priority, believing unity efforts, integrating roles, and cooperation between entities can create high-quality services; based on this concept, GWU developed a unified family counseling pl",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114835552011858,United Arab Emirates
